0,1
/kaggle/input/numeroff-low/ocr_txt/train/img/31831.png,K863CA190
/kaggle/input/numeroff-low/ocr_txt/train/img/34110.png,O200OK98
/kaggle/input/numeroff-low/ocr_txt/train/img/24792.png,H238HO22
/kaggle/input/numeroff-low/ocr_txt/train/img/19124.png,C961AP186
/kaggle/input/numeroff-low/ocr_txt/train/img/14993.png,B799TE64
/kaggle/input/numeroff-low/ocr_txt/train/img/20659.png,E300AO163
/kaggle/input/numeroff-low/ocr_txt/train/img/26845.png,H752KX40
/kaggle/input/numeroff-low/ocr_txt/train/img/44056.png,X287AA761
/kaggle/input/numeroff-low/ocr_txt/train/img/36086.png,O758EP07
/kaggle/input/numeroff-low/ocr_txt/train/img/23638.png,H007BE136
/kaggle/input/numeroff-low/ocr_txt/train/img/10729.png,A963BA82
/kaggle/input/numeroff-low/ocr_txt/train/img/26005.png,H542YX71
/kaggle/input/numeroff-low/ocr_txt/train/img/11500.png,B070HT82
/kaggle/input/numeroff-low/ocr_txt/train/img/16646.png,C152CE96
/kaggle/input/numeroff-low/ocr_txt/train/img/27331.png,H863AE716
/kaggle/input/numeroff-low/ocr_txt/train/img/43679.png,X158PH50
/kaggle/input/numeroff-low/ocr_txt/train/img/1493.png,B740MB35
/kaggle/input/numeroff-low/ocr_txt/train/img/35299.png,O500OH64
/kaggle/input/numeroff-low/ocr_txt/train/img/10221.png,A872TB96
/kaggle/input/numeroff-low/ocr_txt/train/img/28605.png,K098CT159
/kaggle/input/numeroff-low/ocr_txt/train/img/297.png,B400PP35
/kaggle/input/numeroff-low/ocr_txt/train/img/34723.png,O339CO777
/kaggle/input/numeroff-low/ocr_txt/train/img/33368.png,O051XC190
/kaggle/input/numeroff-low/ocr_txt/train/img/32450.png,M001XT54
/kaggle/input/numeroff-low/ocr_txt/train/img/8640.png,A595HK82
/kaggle/input/numeroff-low/ocr_txt/train/img/32633.png,M350MP77
/kaggle/input/numeroff-low/ocr_txt/train/img/20714.png,E313YT54
/kaggle/input/numeroff-low/ocr_txt/train/img/1902.png,T402HP35
/kaggle/input/numeroff-low/ocr_txt/train/img/4268.png,T111PP35
/kaggle/input/numeroff-low/ocr_txt/train/img/16695.png,C171CP152
/kaggle/input/numeroff-low/ocr_txt/train/img/28252.png,K033AH43
/kaggle/input/numeroff-low/ocr_txt/train/img/32280.png,K969PK159
/kaggle/input/numeroff-low/ocr_txt/train/img/6398.png,A200XO190
/kaggle/input/numeroff-low/ocr_txt/train/img/6827.png,A275OA27
/kaggle/input/numeroff-low/ocr_txt/train/img/55.png,A890TC35
/kaggle/input/numeroff-low/ocr_txt/train/img/10441.png,A906KC60
/kaggle/input/numeroff-low/ocr_txt/train/img/6072.png,A150KC142
/kaggle/input/numeroff-low/ocr_txt/train/img/9806.png,A798YP74
/kaggle/input/numeroff-low/ocr_txt/train/img/48076.png,Y555TK34
/kaggle/input/numeroff-low/ocr_txt/train/img/24158.png,H096PC777
/kaggle/input/numeroff-low/ocr_txt/train/img/34318.png,O247XO58
